onset	duration	value	accuracy	response_time	trial_type
4.001	6.398	E	0	0	vowcon_na
10.503	5.896	e	0	922	vowcon_repeat
16.505	6.394	T	1	1329	vowcon_repeat
23.007	3.892	a	1	1674	vowcon_repeat
27.008	6.391	R	1	2257	upplow_switch
33.51	5.389	E	1	1735	upplow_repeat
39.011	6.888	T	1	2221	vowcon_switch
45.998	5.901	A	1	1972	vowcon_repeat
51.999	6.4	u	1	2404	upplow_switch
58.5	5.399	U	1	1761	vowcon_switch
64.002	6.397	F	1	1572	vowcon_repeat
70.504	6.395	t	1	1706	upplow_switch
77.006	3.393	I	1	2225	vowcon_switch
80.507	4.392	U	1	2222	upplow_switch
85.008	8.891	t	1	1497	vowcon_switch
94.011	3.388	M	1	1851	vowcon_repeat
97.512	6.887	R	1	1872	upplow_switch
104.498	7.401	M	1	1649	upplow_repeat
111.999	8.9	r	1	1574	vowcon_switch
121.002	4.397	T	1	2548	upplow_switch
125.503	5.896	e	1	1689	upplow_repeat
131.505	8.394	I	1	1617	upplow_repeat
140.007	7.892	R	1	1392	upplow_repeat
148.009	6.89	A	1	2231	vowcon_switch
155.011	6.888	R	1	2286	upplow_switch
161.998	4.901	F	1	1413	upplow_repeat
166.998	5.401	+	NA	0	_fix
172.5	7.399	a	1	3308	upplow_repeat
180.002	4.897	E	1	2216	vowcon_switch
185.003	8.396	r	1	1309	vowcon_repeat
193.506	6.393	f	1	1867	vowcon_repeat
200.008	3.391	i	1	1855	upplow_switch
203.509	4.39	m	1	1314	vowcon_switch
208.01	7.389	u	1	1799	vowcon_repeat
215.512	9.387	I	0	1897	vowcon_repeat
224.998	5.901	e	1	1271	vowcon_repeat
231	7.899	+	NA	0	_fix
239.002	8.897	a	1	2030	upplow_switch
248.005	6.894	I	1	1869	upplow_repeat
255.007	3.892	r	1	1272	vowcon_switch
259.008	9.391	r	1	2159	upplow_switch
268.511	7.388	f	0	2015	upplow_repeat
276.013	6.886	u	0	1301	vowcon_switch
282.998	3.901	m	1	1865	upplow_switch
286.999	9.4	r	1	2217	upplow_repeat
296.502	5.397	F	1	1440	vowcon_switch
302.004	9.395	R	1	1695	upplow_switch
311.506	8.393	u	1	1877	upplow_repeat
320.009	4.39	a	1	2104	upplow_repeat
324.51	7.389	e	1	1795	vowcon_switch
332.012	7.387	m	1	1262	vowcon_repeat
339.498	5.401	E	1	2195	upplow_switch
344.999	4.9	+	NA	0	_fix
350.001	8.898	A	1	1988	upplow_repeat
359.003	6.396	E	1	1333	upplow_repeat
365.505	3.394	r	1	1383	vowcon_switch
369.006	7.893	i	1	1348	upplow_switch
377.008	5.891	f	1	1484	upplow_repeat
383.01	4.889	+	NA	0	_fix
388.012	7.887	u	0	1642	upplow_repeat
395.998	8.401	i	1	1822	vowcon_switch
404.5	6.899	R	1	2205	vowcon_repeat
411.502	5.397	M	1	1846	upplow_switch
417.003	3.896	t	1	1722	upplow_repeat
421.004	5.895	A	1	2142	vowcon_switch
427.006	5.893	+	NA	0	_fix
